word,topic,hints,meaning
Thảm yoga,Thể thao,Thảm tập yoga;Cao su,"Thảm tập yoga, mềm mại, không trơn, giúp tập luyện an toàn."
Quần tập thể dục,Thể thao,Quần tập thể dục;Vải co giãn,"Quần tập thể dục, co giãn tốt, giúp vận động dễ dàng."
Dây nhảy,Thể thao,Dây dùng nhảy;Nylon,"Dây nhảy dài, nylon bền bỉ, dùng nhảy dây tập thể dục."
Giàn tập,Thể thao,Giàn tập thể dục;Kim loại,"Giàn tập thể dục, giúp tập lực, kéo kéo xuống, tập nhiều bộ cơ."
Xe đạp tập,Thể thao,Xe đạp tập trong nhà;Đạp tại chỗ,"Xe đạp tập trong nhà, giúp tập tim phổi, đạp tại chỗ."
Máy chạy bộ,Thể thao,Máy tập chạy;Máy chạy,"Máy tập chạy bộ trong nhà, có belt chạy, điều chỉnh tốc độ."
Khăn tập thể dục,Thể thao,Khăn tập thể dục;Cotton,"Khăn tập thể dục, hút mồ hôi tốt, vải mềm mại."
guitar,Nhạc cụ & Âm nhạc,Nhạc cụ dây;Gỗ đặc biệt,"Nhạc cụ gồm thân gỗ, cần, các dây, dùng gảy hoặc ngón tay."
piano,Nhạc cụ & Âm nhạc,Nhạc cụ phím 88 phím;Gỗ to,"Nhạc cụ phím 88 phím, lớn, nặng, âm thanh phong phú."
Đàn organ,Nhạc cụ & Âm nhạc,Nhạc cụ phím điện;Âm thanh đa dạng,"Nhạc cụ phím điện, âm thanh đa dạng, nhỏ hơn piano."
Đàn ukulele,Nhạc cụ & Âm nhạc,Nhạc cụ dây nhỏ;Gỗ,"Nhạc cụ gỗ nhỏ, 4 dây, âm thanh nhẹ nhàng."
Trống,Nhạc cụ & Âm nhạc,Nhạc cụ gõ;Vỏ kim loại,"Nhạc cụ gõ, vỏ kim loại, đánh bằng gậy hoặc tay."
Kèn,Nhạc cụ & Âm nhạc,Nhạc cụ thổi;Kim loại hoặc gỗ,"Nhạc cụ thổi, có nhiều loại khác nhau, âm thanh rêu."
Kẻng,Nhạc cụ & Âm nhạc,Nhạc cụ gõ kim loại;Đồng,"Nhạc cụ gõ kim loại đồng, đánh bằng gậy có nơm mềm."
Đàn tranh,Nhạc cụ & Âm nhạc,Nhạc cụ dây truyền thống Việt;Gỗ,"Nhạc cụ truyền thống Việt Nam, 16 dây, âm thanh du dương."
Đàn tam thập lục,Nhạc cụ & Âm nhạc,Nhạc cụ dây 36 dây;Gỗ,"Nhạc cụ truyền thống, 36 dây, âm thanh phong phú."
Đàn bầu,Nhạc cụ & Âm nhạc,Nhạc cụ gõ Việt Nam;Gỗ hình chữ T,"Nhạc cụ truyền thống Việt Nam, gõ bằng gậy, âm thanh buồn."
Sáo trúc,Nhạc cụ & Âm nhạc,Nhạc cụ thổi tre;Bamboo,"Nhạc cụ thổi làm từ tre, truyền thống Việt Nam, âm thanh thủy chung."
Đàn harmonica,Nhạc cụ & Âm nhạc,Nhạc cụ thổi nhỏ;Kim loại,"Nhạc cụ thổi nhỏ gọn, dùng thổi hoặc kéo, âm thanh cao."
Violin,Nhạc cụ & Âm nhạc,Nhạc cụ dây cung;Gỗ,"Nhạc cụ dây cung cổ điển, dùng nơm, âm thanh cao."
Cello,Nhạc cụ & Âm nhạc,Nhạc cụ dây cung lớn;Gỗ,"Nhạc cụ dây cung, lớn hơn violin, đặt giữa hai chân."
Họa sĩ,Nghệ thuật,Người vẽ tranh;Vẽ tay,"Người làm nghề vẽ tranh, sáng tạo hình ảnh bằng tay."
Nhạc sĩ,Nghệ thuật,Người viết nhạc;Sáng tạo melodies,"Người sáng tạo nhạc, viết bản nhạc cho các bài hát."
Nhà thơ,Nghệ thuật,Người viết thơ;Sáng tạo từ ngữ,"Người sáng tạo thơ, kết hợp từ ngữ tạo ra tác phẩm văn học."
Diễn viên,Nghệ thuật,Người diễn kịch;Tạo nhân vật,"Người diễn xuất trên sân khấu hoặc phim, tạo ra nhân vật."
Đạo diễn,Nghệ thuật,Người chỉ đạo phim;Tạo bộ phim,"Người chỉ đạo quá trình quay phim, tạo ra tác phẩm điện ảnh."
Nhà điêu khắc,Nghệ thuật,Người điêu khắc tượng;Tạo hình khối,"Người tạo ra tác phẩm điêu khắc từ đá, gỗ, hay kim loại."
Nhà thiết kế,Nghệ thuật,Người thiết kế;Sáng tạo hình dáng,"Người thiết kế từ quần áo, đến nội thất, tạo ra sản phẩm đẹp."
Nhà biên kịch,Nghệ thuật,Người viết kịch bản;Sáng tạo câu chuyện,"Người viết kịch bản cho phim, kịch, tạo ra câu chuyện."
Dancer,Nghệ thuật,Người nhảy múa;Biểu diễn,"Người biểu diễn vũ đạo, thể hiện cảm xúc qua vũ động."
Ballerina,Nghệ thuật,Vũ công nữ;Ballet,"Người nhảy múa ballet nữ, kỹ thuật cao, tạo hình đẹp."
Tranh sơn dầu,Nghệ thuật,Tranh vẽ bằng sơn dầu;Màu sắc sâu,"Tác phẩm vẽ tranh bằng sơn dầu, màu sắc sâu, vẽ trên canvas."
Tranh mực,Nghệ thuật,Tranh vẽ bằng mực;Đen trắng,"Tác phẩm vẽ tranh bằng mực, thường đen trắng, mang vẻ cổ điển."
Gốm sứ,Nghệ thuật,Vật dụng từ đất sét;Nóng chảy,"Vật dụng làm từ đất sét, nóng chảy trong lò, tạo ra lớp glaze."
Tượng gỗ & tượng đá,Nghệ thuật,Tượng điêu khắc từ gỗ hoặc đá;Bền bỉ tự nhiên,Tác phẩm điêu khắc nghệ thuật làm từ chất liệu gỗ tự nhiên hoặc đá bền vững theo thời gian.
Nhà hát,Du lịch,Địa điểm xem kịch;Kiến trúc cổ,"Tòa nhà dùng để xem kịch, opera, ballet, có kiến trúc đẹp."
Bảo tàng,Du lịch,Nơi lưu giữ di tích;Giáo dục,"Nơi lưu giữ các vật dụng cổ, tranh, điêu khắc, có giá trị lịch sử."
Thư viện,Du lịch,Nơi lưu giữ sách;Kiến thức,"Nơi lưu giữ và cho mượn sách, tài liệu, tham khảo kiến thức."
Công viên,Du lịch,Nơi giải trí;Cây xanh,"Nơi công cộng có cây xanh, sân chơi, giải trí cho gia đình."
Biển,Du lịch,Vùng nước mặn;Cảnh đẹp,"Vùng nước mặn rộng lớn, cảnh tươi đẹp, có bãi cát trắng."
Hồ,Du lịch,Vùng nước ngọt;Yên tĩnh,"Vùng nước ngọt được bao quanh bằng đất, yên tĩnh, sáng trong."
Sông,Du lịch,Dòng nước chảy;Dài,"Dòng nước chảy từ thượng nguồn xuống biển, nuôi sống sinh vật."
Núi,Du lịch,Vùng cao;Thiên nhiên,"Vùng cao nhất trên mặt đất, có nhiều cây cỏ, động vật."
Rừng,Du lịch,Vùng nhiều cây;Sinh thái,"Vùng có nhiều cây cỏ, động vật hoang dã, sinh thái phong phú."
Thác nước,Du lịch,Nước chảy từ cao xuống;Kêu rất,"Nơi nước chảy từ cao xuống tạo tiếng động, cảnh tuyệt đẹp."
Hang động,Du lịch,Hang động tự nhiên;Đen tối,"Hang động được tạo từ đá hay đất, tối tăm, có thể khám phá."
Hà Nội,Du lịch Việt Nam,Thủ đô Việt Nam;Ngàn năm,"Thủ đô Việt Nam, với lịch sử ngàn năm, có nhiều di tích."
Sài Gòn,Du lịch Việt Nam,Thành phố lớn Nam Bộ;Phát triển,"Thành phố lớn ở Nam Bộ, phát triển kinh tế nhanh."
Huế,Du lịch Việt Nam,Cố đô Việt Nam;Kiến trúc cổ,"Cố đô Việt Nam, có kiến trúc cổ, Kỳ Đài, Tử Cấm Thành."
Đà Nẵng,Du lịch Việt Nam,Thành phố biển;Bãi cát trắng,"Thành phố biển Việt Nam, có bãi cát trắng, Bán đảo Sơn Trà."
Hạ Long,Du lịch Việt Nam,Thành phố cảng;Vịnh Hạ Long,"Thành phố cảng ở Quảng Ninh, nổi tiếng vịnh Hạ Long đẹp."
Phú Quốc,Du lịch Việt Nam,Đảo lớn Việt Nam;Cát trắng,"Đảo lớn nhất Việt Nam, có bãi cát trắng, nước biển trong."
Quy Nhơn,Du lịch Việt Nam,Thành phố biển;Bãi Quy Nhơn,"Thành phố biển Bình Định, có bãi Quy Nhơn đẹp, Tây Sơn."
Hội An,Du lịch Việt Nam,Phố cổ nổi tiếng;Kiến trúc cổ,"Phố cổ ở Quảng Nam, nổi tiếng kiến trúc cổ, đèn Hội An."
Phong Nha,Du lịch Việt Nam,Hang động nổi tiếng;Đẹp hùng vĩ,"Hang động ở Quảng Bình, nổi tiếng hang động Phong Nha - Kẻ Bàng."
Paris,Du lịch Thế giới,Thủ đô Pháp;Lãng mạn,"Thủ đô Pháp, nổi tiếng lãng mạn, Tháp Eiffel, Bảo tàng Louvre."
Tokyo,Du lịch Thế giới,Thủ đô Nhật Bản;Hiện đại,"Thủ đô Nhật Bản, hiện đại, ồn ào, công nghệ cao."
Bangkok,Du lịch Thế giới,Thủ đô Thái Lan;Chùa vàng,"Thủ đô Thái Lan, nổi tiếng chùa vàng, chợi nổi, đồ ăn ngon."
Singapore,Du lịch Thế giới,Thành phố - Quốc gia;Hiện đại sạch sẽ,"Thành phố - quốc gia ở Đông Nam Á, hiện đại, sạch sẽ."
Hong Kong,Du lịch Thế giới,Đặc khu hành chính;Tòa nhà cao,"Đặc khu hành chính của Trung Quốc, tòa nhà cao chọc trời."
Seoul,Du lịch Thế giới,Thủ đô Hàn Quốc;Công nghệ,"Thủ đô Hàn Quốc, nổi tiếng công nghệ, thời trang, K-pop."
Amsterdam,Du lịch Thế giới,Thủ đô Hà Lan;Kênh nước,"Thủ đô Hà Lan, nổi tiếng kênh nước, căn nhà hẹp, xe đạp."
Rome,Du lịch Thế giới,Thủ đô Ý;Cổ kính,"Thủ đô Ý, nổi tiếng Colosseum, Vatican, kiến trúc cổ."
London,Du lịch Thế giới,Thủ đô Anh;Big Ben,"Thủ đô Anh, nổi tiếng Big Ben, cầu Tower Bridge, tàu điện ngầm."
Berlin,Du lịch Thế giới,Thủ đô Đức;Lịch sử sâu,"Thủ đô Đức, nổi tiếng lịch sử sâu, bức tường Berlin."
Vienna,Du lịch Thế giới,Thủ đô Áo;Âm nhạc cổ điển,"Thủ đô Áo, nổi tiếng âm nhạc cổ điển, cung điện hoàng gia."
Moscow,Du lịch Thế giới,Thủ đô Nga;Tòa nhà khổng lồ,"Thủ đô Nga, nổi tiếng tòa nhà khổng lồ, Quảng trường Đỏ."
Sydney,Du lịch Thế giới,Thành phố Úc;Opera House,"Thành phố Úc, nổi tiếng nhà hát Opera House, bãi biển Bondi."
Melbourne,Du lịch Thế giới,Thành phố Úc;Văn hóa,"Thành phố Úc, nổi tiếng văn hóa, nghệ thuật, cà phê."
Neon sign,Giải trí,Biển hiệu neon;Chiếu sáng,"Biển hiệu sử dụng đèn neon, tạo ánh sáng rực rỡ lúc đêm."
Club đêm,Giải trí,Quán bar đêm;Nhạc sống,"Nơi vui chơi giải trí vào buổi đêm, có nhạc DJ, khiêu vũ."
Pub,Giải trí,Quán rượu;Bia rượu,"Quán rượu bia, nơi gặp gỡ bạn bè, uống bia trò chuyện."
Lễ hội,Giải trí,Sự kiện lễ hội;Vui chơi,"Sự kiện lễ hội, lễ hằng năm, có vui chơi và ăn uống."
Tiệc cưới,Giải trí,Buổi tiệc kỷ niệm;Ăn uống vui,"Buổi tiệc kỷ niệm ngày cưới, mời khách ăn uống vui chơi."
Lễ Tết,Giải trí,Lễ hội Tết Nguyên Đán;Bắt pháo,"Lễ Tết Nguyên Đán, mọi người đi chơi, bắt pháo hoa."
Concert,Giải trí,Buổi hòa nhạc;Ca sĩ trực tiếp,"Buổi hòa nhạc, ca sĩ biểu diễn trực tiếp trên sân khấu."
Festival âm nhạc,Giải trí,Lễ hội âm nhạc;Nhiều ca sĩ,"Lễ hội âm nhạc, nhiều ca sĩ biểu diễn, gấp đôi người xem."
Triển lãm,Giải trí,Buổi triển lãm;Tranh tác phẩm,"Buổi triển lãm, trưng bày tranh, điêu khắc, tác phẩm nghệ thuật."
Múa sắc nước,Giải trí,Múa với nước;Tia sáng,"Hình thức biểu diễn múa với nước, có tia sáng màu sắc."
Xiếc,Giải trí,Buổi biểu diễn xiếc;Nhào lộn,"Buổi biểu diễn xiếc, có nhào lộn, đạp xe trên dây."
Rạp chiếu phim,Giải trí,Nơi chiếu phim;Màn hình lớn,"Nơi chiếu phim, có màn hình lớn, âm thanh tốt, có bỏng ngô."
Phim kinh dị,Giải trí,Phim sợ;Rùng rợn,"Phim có nội dung kinh dị, sợ hãi, gây rùng rợn cho khán giả."
Phim hành động,Giải trí,Phim kịch tính;Bạo lực,"Phim có nội dung hành động, bạo lực, gay cấn, kịch tính."
Phim hài,Giải trí,Phim hài hước;Cười,"Phim có nội dung hài hước, làm cười khán giả."
Phim drama,Giải trí,Phim kịch;Cảm động,"Phim có nội dung kịch tính, cảm động, có yêu thương."
Phim tình cảm,Giải trí,Phim tình yêu;Lãng mạn,"Phim có nội dung tình yêu, lãng mạn, buồn thương."
Anime,Giải trí,Phim hoạt hình Nhật;Vui nhộn,"Phim hoạt hình Nhật Bản, vui nhộn, nhiều tập."
Manga,Giải trí,Truyện tranh Nhật;Vui thích,"Truyện tranh Nhật Bản, vui thích, nhiều thể loại."
Webtoon,Giải trí,Truyện tranh web;Hiện đại,"Truyện tranh đăng trên web, hiện đại, cập nhật thường xuyên."
Esports,Giải trí,Thi đấu điện tử chuyên nghiệp;Giải thưởng,"Thi đấu video game chuyên nghiệp, có giải thưởng tiền tệ lớn."
Bánh xèo,Ẩm thực,Bánh chiên giòn cuốn rau sống;Vị béo ngậy,"Bánh bột gạo chiên giòn nhân tôm thịt, ăn kèm rau sống và nước mắm chua ngọt."
Bún mắm,Ẩm thực,Món nước đậm đà mùi mắm;Đặc sản miền Tây,"Món bún nước dùng nấu từ mắm cá linh hoặc cá sặc, ăn kèm hải sản và heo quay."
Cao lầu,Ẩm thực,Đặc sản Hội An;Sợi mì vàng đậm,"Món mì đặc trưng của Hội An với sợi mì vàng dai, thịt xá xíu và ít nước dùng đậm đà."
Bánh tráng nướng,Ẩm thực,Pizza Việt Nam;Nướng trên than hoa,"Bánh tráng nướng với trứng cút, mỡ hành, xúc xích và tép khô trên bếp than."
Nước sâm,Đồ uống,Thức uống thảo mộc giải nhiệt;Vị ngọt mát,"Thức uống nấu từ các loại rễ cây và lá thảo mộc, có tác dụng giải nhiệt cơ thể."
Trà tắc,Đồ uống,Trà chanh phiên bản tắc;Giải khát mùa hè,"Trà pha với quả tắc (quất) tươi, thêm đường và đá lạnh, giải khát rất tốt."
Xe đạp thể thao,Phương tiện,Xe đạp địa hình;Có nhiều cấp độ số,Xe đạp chuyên dụng cho việc tập luyện thể thao hoặc đi địa hình gồ ghề.
Xe máy điện,Phương tiện,Xe máy chạy bằng điện;Không tiếng ồn,"Phương tiện 2 bánh chạy bằng động cơ điện công suất lớn, không phát thải khói bụi."
Áo bà ba cách tân,Trang phục,Biến tấu từ áo bà ba truyền thống;Hiện đại trẻ trung,"Trang phục truyền thống được cách tân với kiểu dáng hiện đại hơn, hợp thời trang."
Nha Trang,Du lịch Việt Nam,Thành phố biển miền Trung;Vịnh đẹp nổi tiếng,"Thành phố ven biển Khánh Hòa, nổi tiếng với các vịnh biển đẹp và hải sản tươi ngon."
Phú Yên,Du lịch Việt Nam,Xứ hoa vàng trên cỏ xanh;Cảnh quan hoang sơ,Tỉnh duyên hải miền Trung nổi tiếng với cảnh quan thiên nhiên hoang sơ và bình yên.
Ninh Bình,Du lịch Việt Nam,Cố đô Hoa Lư;Danh thắng Tràng An,"Vùng đất cố đô với quần thể danh thắng Tràng An, Tam Cốc Bích Động hùng vĩ."
Bà Nà,Du lịch Việt Nam,Khu du lịch trên núi;Có Cầu Vàng nổi tiếng,Khu nghỉ dưỡng nổi tiếng trên đỉnh Núi Chúa với kiến trúc châu Âu và Cầu Vàng độc đáo.
Lô tô,Giải trí,Trò chơi dân gian có gọi số;Thường chơi dịp Tết,Trò chơi giải trí truyền thống có người gọi số và người chơi dò vé số.
Đố vui,Giải trí,Trò chơi câu đố trí tuệ;Thử thách tư duy,Trò chơi đặt ra các câu đố mẹo hoặc kiến thức để thử sự nhạy bén.
Máy hút bụi,Thiết bị,Dọn dẹp nhà cửa tự động;Lực hút mạnh,Thiết bị điện gia dụng dùng để hút sạch bụi bẩn trên sàn nhà và thảm.
Quạt hơi nước,Thiết bị,Quạt làm mát bằng hơi nước;Giải nhiệt ngày hè,Thiết bị làm mát kết hợp phun hơi nước hoặc sương tạo cảm giác dễ chịu.
Bàn trang điểm,Đồ vật trong nhà,Có gương soi;Đựng mỹ phẩm,Bàn có gương lớn và các ngăn kéo dùng để trang điểm và sắp xếp mỹ phẩm.
Ghế sofa,Đồ vật trong nhà,Ghế phòng khách êm ái;Bọc nệm dày,Ghế dài bọc nệm êm ái đặt ở phòng khách để nghỉ ngơi hoặc tiếp khách.
Vợt cầu lông,Thể thao,Vợt nhẹ chơi cầu lông;Đan lưới cước,"Vợt chuyên dụng dùng trong môn thể thao cầu lông, trọng lượng nhẹ."
Cầu lông,Thể thao,Quả cầu có lông vũ;Đánh qua lại lưới,Môn thể thao dùng vợt đánh quả cầu lông qua lại qua một chiếc lưới cao.
Bóng pickleball,Thể thao,Môn thể thao kết hợp tennis và bóng bàn;Đang thịnh hành,Môn thể thao dùng vợt mặt phẳng đánh quả bóng có lỗ trên sân nhỏ.
Đàn sến,Nhạc cụ & Âm nhạc,Nhạc cụ dây truyền thống;Âm hưởng dân ca,Nhạc cụ dây truyền thống của Việt Nam thường dùng trong cải lương và âm nhạc dân gian.
Đàn cò,Nhạc cụ & Âm nhạc,Nhạc cụ 2 dây có cần kéo;Âm thanh lảnh lót,"Nhạc cụ truyền thống 2 dây chơi bằng cung vĩ, âm thanh cao và biểu cảm."
Điêu khắc gỗ,Nghệ thuật,Chạm trổ tác phẩm trên gỗ;Tỉ mỉ tinh xảo,Nghệ thuật tạo hình và chạm khắc các chi tiết tinh xảo trên chất liệu gỗ.
Bình hoa ceramic,Nghệ thuật,Lọ cắm hoa bằng gốm sứ;Trang trí phòng,Bình gốm sứ nghệ thuật dùng để cắm hoa trang trí nội thất nhà cửa.
Thanh long,Hoa quả,Trái cây vỏ đỏ ruột trắng/đỏ;Nhiều hạt nhỏ,"Trái cây vỏ màu hồng đỏ, tai xanh, thịt quả có nhiều hạt đen nhỏ li ti."
Sầu riêng,Hoa quả,Vua trái cây có mùi đặc trưng;Múi vàng béo ngậy,"Trái cây có gai nhọn, phần múi vàng óng, vị béo ngọt và mùi hương rất nồng."
Măng cụt,Hoa quả,Nữ hoàng trái cây vỏ tím;Múi trắng ngọt thanh,"Trái cây có vỏ ngoài màu tím đậm dày, bên trong là các múi trắng ngà ngọt thanh."
Vải thiều,Hoa quả,Trái nhỏ vỏ sần màu đỏ;Ngọt đậm mùa hè,"Trái cây đặc sản mùa hè có vỏ sần đỏ, hạt nhỏ, cùi mọng nước ngọt lịm."
Bố,Mối quan hệ & Xã hội,Người sinh ra bạn;Trụ cột gia đình,Người đàn ông sinh ra và nuôi dưỡng bạn trong gia đình.
Mẹ,Mối quan hệ & Xã hội,Người sinh ra và chăm sóc bạn;Tần tảo vì con,"Người phụ nữ sinh ra và nuôi nấng bạn, luôn yêu thương và chăm sóc gia đình."
Anh trai,Mối quan hệ & Xã hội,Nam giới lớn tuổi hơn trong nhà;Con trai sinh trước bạn,Người anh nam giới sinh trước bạn cùng cha mẹ trong gia đình.
Chị gái,Mối quan hệ & Xã hội,Nữ giới lớn tuổi hơn trong nhà;Con gái sinh trước bạn,Người chị nữ giới sinh trước bạn cùng cha mẹ trong gia đình.
Em trai,Mối quan hệ & Xã hội,Nam giới nhỏ tuổi hơn trong nhà;Con trai sinh sau bạn,Người em nam giới sinh sau bạn cùng cha mẹ trong gia đình.
Em gái,Mối quan hệ & Xã hội,Nữ giới nhỏ tuổi hơn trong nhà;Con gái sinh sau bạn,Người em nữ giới sinh sau bạn cùng cha mẹ trong gia đình.
Sếp,Mối quan hệ & Xã hội,Người quản lý công việc;Cấp trên ở nơi làm việc,"Người đứng đầu, quản lý và giao việc cho nhân viên trong công ty hoặc tổ chức."
Chủ nhà,Mối quan hệ & Xã hội,Người sở hữu nhà cho thuê;Thu tiền nhà hàng tháng,"Người sở hữu căn nhà hoặc phòng trọ, cho người khác thuê để ở hoặc kinh doanh."
Bạn thân,Mối quan hệ & Xã hội,Người bạn rất hiểu nhau;Chơi cực kỳ hợp,"Người bạn có mối quan hệ gắn bó thiết thiết, tin tưởng và chia sẻ mọi vui buồn trong cuộc sống."
Kẻ thù,Mối quan hệ & Xã hội,Người đối đầu chống lại bạn;Không hòa hợp,"Người có sự thù hằn, đối lập lợi ích hoặc chống lại bạn."
Đồng đội,Mối quan hệ & Xã hội,Người cùng chung chiến tuyến;Hợp tác hướng tới mục tiêu,"Người cùng tham gia một đội nhóm, chiến đấu hoặc làm việc cùng nhau để đạt được mục tiêu chung."
Đồng chí,Mối quan hệ & Xã hội,Người cùng lý tưởng cách mạng;Xưng hô thân mật trong tổ chức,"Người cùng chung lý tưởng, chí hướng hoặc trong các tổ chức cách mạng, đoàn thể."
Đám tang,Sự kiện & Đời sống,Lễ tang người đã khuất;Mặc đồ tang trắng đen,Lễ nghi tổ chức để tiễn đưa người vừa qua đời về nơi an nghỉ cuối cùng.
Đám ma,Sự kiện & Đời sống,Từ gọi khác của lễ tang;Buổi đưa tang người mất,"Tên gọi dân gian của đám tang, nghi thức tang lễ cho người đã khuất."
Đám cưới,Sự kiện & Đời sống,Lễ kết hôn của cô dâu chú rể;Ngày vui trọng đại,"Buổi lễ chính thức đánh dấu sự kết hôn giữa hai người, bắt đầu cuộc sống vợ chồng."
Hôn lễ,Sự kiện & Đời sống,Nghi thức thành hôn;Lễ cưới trang trọng,Nghi lễ cưới hỏi chính thức theo truyền thống hoặc pháp luật.
Quan tài,Sự kiện & Đời sống,Hòm đựng người mất;Làm bằng gỗ,Chiếc hòm bằng gỗ hoặc vật liệu khác dùng để chứa thi hài người đã khuất trong lễ tang.
Ma,Sự kiện & Đời sống,Linh hồn người đã khuất;Thường xuất hiện trong truyện kinh dị,"Hiện thân tưởng tượng hoặc tâm linh của người đã chết, thường xuất hiện trong các câu chuyện dân gian hoặc phim kinh dị."
Máy bay,Phương tiện,Phương tiện bay trên bầu trời;Có cánh và động cơ phản lực,Phương tiện giao thông hàng không chở hành khách hoặc hàng hóa bay ở độ cao lớn.
Tàu hỏa,Phương tiện,Chạy trên đường ray sắt;Nhiều toa nối nhau,Phương tiện giao thông đường sắt gồm nhiều toa tàu chở hành khách hoặc hàng hóa chạy trên đường ray.
Tàu điện,Phương tiện,Chạy bằng điện trên đô thị;Phương tiện công cộng hiện đại,Phương tiện giao thông công cộng chạy trên đường ray đô thị sử dụng năng lượng điện.
Coca-Cola,Đồ uống,Nước ngọt có gas màu đen;Thương hiệu toàn cầu vỏ đỏ,Thức uống giải khát có gas nổi tiếng toàn cầu với hương vị cola đặc trưng và vỏ lon màu đỏ.
Pepsi,Đồ uống,Nước ngọt có gas màu đen;Đối thủ lớn của Coca,"Thức uống giải khát có gas màu đen nổi tiếng, đối thủ cạnh tranh lớn của Coca-Cola."
Nước tăng lực,Đồ uống,Đồ uống giúp tỉnh táo;Chứa caffeine và taurine,"Thức uống bổ sung năng lượng, giúp tỉnh táo và giảm mệt mỏi khi làm việc hoặc chơi thể thao."
Soda,Đồ uống,Nước khoáng có gas;Dùng pha chế đồ uống,"Nước có gas sủi bọt, thường dùng để uống trực tiếp hoặc làm thành phần pha chế cocktail, thức uống khác."
Lò chiên không dầu,Thiết bị,Nướng thực phẩm không cần dầu mỡ;Dùng thanh nhiệt đối lưu,Thiết bị nhà bếp dùng nhiệt và quạt đối lưu để làm chín thức ăn giòn rụm mà không cần dùng dầu mỡ.
Lò vi sóng,Thiết bị,Hâm nóng thức ăn bằng sóng viba;Nấu ăn nhanh chóng,"Thiết bị điện gia dụng dùng sóng điện từ để hâm nóng, rã đông hoặc nấu chín thức ăn cực kỳ nhanh."
Bếp từ,Thiết bị,Nấu ăn bằng từ trường;Mặt kính sang trọng,"Bếp nấu ăn hiện đại hoạt động dựa trên nguyên lý từ trường làm nóng đáy nồi, an toàn và tiết kiệm điện."
Circle K,Thương hiệu & Tiện ích,Cửa hàng tiện lợi 24/7;Màu đỏ trắng quen thuộc,"Chuỗi cửa hàng tiện lợi quốc tế mở cửa 24/7, rất phổ biến với giới trẻ Việt Nam."
Vinhomes,Thương hiệu & Tiện ích,Thương hiệu bất động sản cao cấp;Khu đô thị hiện đại,Thương hiệu phát triển bất động sản nhà ở cao cấp hàng đầu Việt Nam thuộc tập đoàn Vingroup.
GS25,Thương hiệu & Tiện ích,Cửa hàng tiện lợi phong cách Hàn Quốc;Bán nhiều đồ ăn nhanh,"Chuỗi cửa hàng tiện lợi nổi tiếng có xuất xứ từ Hàn Quốc, được yêu thích tại các đô thị lớn."
WinMart,Thương hiệu & Tiện ích,Hệ thống siêu thị và cửa hàng bán lẻ;Thuộc tập đoàn Masan,Hệ thống bán lẻ phổ biến tại Việt Nam gồm siêu thị và cửa hàng tiện ích cung cấp hàng tiêu dùng.
